要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jppfs_cor:ProvisionForDirectorsBonuses,役員賞与引当金,CurrentYearInstant,当期末,連結,時点,JPY,円,94000000
jppfs_cor:ProvisionForPointCardCertificatesCL,ポイント引当金、流動負債,CurrentYearInstant,当期末,連結,時点,JPY,円,17943000000
jppfs_cor:ProvisionForLossOnGuaranteesCL,債務保証損失引当金、流動負債,CurrentYearInstant,当期末,連結,時点,JPY,円,6453000000
jppfs_cor:OtherCL,その他、流動負債,CurrentYearInstant,当期末,連結,時点,JPY,円,82442000000
jppfs_cor:CurrentLiabilities,流動負債,CurrentYearInstant,当期末,連結,時点,JPY,円,1143592000000
jppfs_cor:BondsPayable,社債,CurrentYearInstant,当期末,連結,時点,JPY,円,575000000000
jppfs_cor:LongTermLoansPayable,長期借入金,CurrentYearInstant,当期末,連結,時点,JPY,円,1410045000000
jpcrp030000-asr_E05031-000:CurrentPortionOfLongTermLoansPayableUnderCreditFluidityNCL,,CurrentYearInstant,当期末,その他,時点,JPY,円,340771000000
jppfs_cor:ProvisionForDirectorsRetirementBenefits,役員退職慰労引当金,CurrentYearInstant,当期末,連結,時点,JPY,円,129000000
jpcrp030000-asr_E05031-000:ProvisionForAutomobileInspectionCostsNCL,,CurrentYearInstant,当期末,その他,時点,JPY,円,1517000000
jppfs_cor:NetDefinedBenefitLiability,退職給付に係る負債,CurrentYearInstant,当期末,連結,時点,JPY,円,8465000000
jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,CurrentYearInstant,当期末,連結,時点,JPY,円,585000000
jppfs_cor:OtherNCL,その他、固定負債,CurrentYearInstant,当期末,連結,時点,JPY,円,50557000000
jppfs_cor:NoncurrentLiabilities,固定負債,CurrentYearInstant,当期末,連結,時点,JPY,円,2387071000000
jppfs_cor:Liabilities,負債,CurrentYearInstant,当期末,連結,時点,JPY,円,3530664000000
jppfs_cor:CapitalStock,資本金,CurrentYearInstant,当期末,連結,時点,JPY,円,16500000000
jppfs_cor:CapitalSurplus,資本剰余金,CurrentYearInstant,当期末,連結,時点,JPY,円,13500000000
jppfs_cor:RetainedEarnings,利益剰余金,CurrentYearInstant,当期末,連結,時点,JPY,円,286446000000
jppfs_cor:ShareholdersEquity,株主資本,CurrentYearInstant,当期末,連結,時点,JPY,円,316446000000
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,CurrentYearInstant,当期末,連結,時点,JPY,円,-25000000
jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,CurrentYearInstant,当期末,連結,時点,JPY,円,-831000000
jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,CurrentYearInstant,当期末,連結,時点,JPY,円,1411000000
jppfs_cor:RemeasurementsOfDefinedBenefitPlans,退職給付に係る調整累計額,CurrentYearInstant,当期末,連結,時点,JPY,円,442000000
jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,CurrentYearInstant,当期末,連結,時点,JPY,円,997000000
jppfs_cor:NonControllingInterests,非支配株主持分,CurrentYearInstant,当期末,連結,時点,JPY,円,8180000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant,当期末,連結,時点,JPY,円,325624000000
jppfs_cor:LiabilitiesAndNetAssets,負債純資産,CurrentYearInstant,当期末,連結,時点,JPY,円,3856288000000
jppfs_cor:FinancingRevenueRevOA,融資収益、営業活動による収益,CurrentYearDuration,当期,連結,期間,JPY,円,3529000000
jppfs_cor:PerItemRevenueRevOA,個別信用購入あっせん収益、営業活動による収益,CurrentYearDuration,当期,連結,期間,JPY,円,34234000000
jppfs_cor:RevenueFromCreditGuaranteeRevOA,信用保証収益、営業活動による収益,CurrentYearDuration,当期,連結,期間,JPY,円,48025000000
jppfs_cor:CreditCardRevenueRevOA,包括信用購入あっせん収益、営業活動による収益,CurrentYearDuration,当期,連結,期間,JPY,円,66236000000
jppfs_cor:LeaseRevenueRevOA,リース収益、営業活動による収益,CurrentYearDuration,当期,連結,期間,JPY,円,100344000000
jppfs_cor:OtherRevOA,その他、営業活動による収益,CurrentYearDuration,当期,連結,期間,JPY,円,33094000000
jppfs_cor:OperatingRevenueSPF,営業収益、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,285465000000
jppfs_cor:CommissionFeeOESPF,支払手数料、営業費用、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,25071000000
jppfs_cor:SalariesAndAllowancesSGA,給料及び手当、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,10466000000
jppfs_cor:ProvisionForBonusesSGA,賞与引当金繰入額、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,2784000000
jppfs_cor:RetirementBenefitExpensesSGA,退職給付費用、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,1116000000
jpcrp030000-asr_E05031-000:ComputerExpensesOE,,CurrentYearDuration,当期,その他,期間,JPY,円,25665000000
jppfs_cor:ProvisionOfAllowanceForDoubtfulAccountsSGA,貸倒引当金繰入額、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,13768000000
jppfs_cor:ProvisionForPointCardCertificatesSGA,ポイント引当金繰入額、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,21695000000
jppfs_cor:DepreciationSGA,減価償却費、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,489000000
jppfs_cor:OfficeCostSGA,事務費、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,6685000000
jppfs_cor:OtherSGA,その他、販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,32065000000
jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,CurrentYearDuration,当期,連結,期間,JPY,円,139810000000
jppfs_cor:InterestExpensesOESPF,支払利息、営業費用、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,11810000000
jppfs_cor:InterestOnBondsOESPF,社債利息、営業費用、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,2169000000
jppfs_cor:AmortizationOfBondIssuanceCostOESPF,社債発行費償却、営業費用、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,171000000
jppfs_cor:OtherFinancialExpensesSPF,その他、金融費用、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,471000000
jppfs_cor:FinancialExpenses,金融費用,CurrentYearDuration,当期,連結,期間,JPY,円,14622000000
jppfs_cor:LeaseCostCOSLEA,リース原価、売上原価、リース事業,CurrentYearDuration,当期,連結,期間,JPY,円,92627000000
jppfs_cor:OperatingExpensesSPF,営業費用、特定金融業,CurrentYearDuration,当期,連結,期間,JPY,円,247061000000
jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,38404000000
jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,CurrentYearDuration,当期,連結,期間,JPY,円,384000000
jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,CurrentYearDuration,当期,連結,期間,JPY,円,17000000
jppfs_cor:GainOnBadDebtsRecoveredNOI,償却債権取立益、営業外収益,CurrentYearDuration,当期,連結,期間,JPY,円,3933000000
jpcrp030000-asr_E05031-000:RecoveriesOfCollectionExpensesNOI,,CurrentYearDuration,当期,その他,期間,JPY,円,658000000
jppfs_cor:ForeignExchangeGainsNOI,為替差益、営業外収益,CurrentYearDuration,当期,連結,期間,JPY,円,－
jppfs_cor:MiscellaneousIncomeNOI,雑収入、営業外収益,CurrentYearDuration,当期,連結,期間,JPY,円,138000000
jppfs_cor:NonOperatingIncome,営業外収益,CurrentYearDuration,当期,連結,期間,JPY,円,5132000000
jppfs_cor:ForeignExchangeLossesNOE,為替差損、営業外費用,CurrentYearDuration,当期,連結,期間,JPY,円,409000000
jppfs_cor:LossOnRetirementOfNoncurrentAssetsNOE,固定資産除却損、営業外費用,CurrentYearDuration,当期,連結,期間,JPY,円,168000000
jppfs_cor:MiscellaneousLossNOE,雑損失、営業外費用,CurrentYearDuration,当期,連結,期間,JPY,円,50000000
jppfs_cor:NonOperatingExpenses,営業外費用,CurrentYearDuration,当期,連結,期間,JPY,円,628000000
jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,42908000000
jppfs_cor:GainOnSalesOfInvestmentSecuritiesEI,投資有価証券売却益、特別利益,CurrentYearDuration,当期,連結,期間,JPY,円,－
jppfs_cor:ExtraordinaryIncome,特別利益,CurrentYearDuration,当期,連結,期間,JPY,円,－
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,42908000000
jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,CurrentYearDuration,当期,連結,期間,JPY,円,12413000000
jppfs_cor:IncomeTaxesDeferred,法人税等調整額,CurrentYearDuration,当期,連結,期間,JPY,円,73000000
jppfs_cor:IncomeTaxes,法人税等,CurrentYearDuration,当期,連結,期間,JPY,円,12486000000
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,CurrentYearDuration,当期,連結,期間,JPY,円,30422000000
jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,871000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,29550000000
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,CurrentYearDuration,当期,連結,期間,JPY,円,30422000000
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesNetOfTaxOCI,その他有価証券評価差額金（税引後）、その他の包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,-237000000
jppfs_cor:DeferredGainsOrLossesOnHedgesNetOfTaxOCI,繰延ヘッジ損益（税引後）、その他の包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,-793000000
jppfs_cor:ForeignCurrencyTranslationAdjustmentNetOfTaxOCI,為替換算調整勘定（税引後）、その他の包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,-566000000
jppfs_cor:RemeasurementsOfDefinedBenefitPlansNetOfTaxOCI,退職給付に係る調整額（税引後）、その他の包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,837000000
jppfs_cor:OtherComprehensiveIncome,その他の包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,-760000000
jppfs_cor:ComprehensiveIncome,包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,29662000000
jppfs_cor:ComprehensiveIncomeAttributableToOwnersOfTheParent,親会社株主に係る包括利益、包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,28790000000
jppfs_cor:ComprehensiveIncomeAttributableToNonControllingInterests,非支配株主に係る包括利益、包括利益,CurrentYearDuration,当期,連結,期間,JPY,円,871000000
jppfs_cor:DividendsFromSurplus,剰余金の配当,CurrentYearDuration_RetainedEarningsMember,当期,連結,期間,JPY,円,-8812000000
jppfs_cor:DividendsFromSurplus,剰余金の配当,CurrentYearDuration_ShareholdersEquityMember,当期,連結,期間,JPY,円,-8812000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,CurrentYearDuration_RetainedEarningsMember,当期,連結,期間,JPY,円,29550000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,CurrentYearDuration_ShareholdersEquityMember,当期,連結,期間,JPY,円,29550000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_CapitalStockMember,当期,連結,期間,JPY,円,－
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_CapitalSurplusMember,当期,連結,期間,JPY,円,－
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_RetainedEarningsMember,当期,連結,期間,JPY,円,20738000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_ShareholdersEquityMember,当期,連結,期間,JPY,円,20738000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_CapitalStockMember,当期末,連結,時点,JPY,円,16500000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_CapitalSurplusMember,当期末,連結,時点,JPY,円,13500000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_RetainedEarningsMember,当期末,連結,時点,JPY,円,286446000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_ShareholdersEquityMember,当期末,連結,時点,JPY,円,316446000000
jppfs_cor:DividendsFromSurplus,剰余金の配当,CurrentYearDuration,当期,連結,期間,JPY,円,-8812000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,29550000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration_ValuationDifferenceOnAvailableForSaleSecuritiesMember,当期,連結,期間,JPY,円,-237000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration_DeferredGainsOrLossesOnHedgesMember,当期,連結,期間,JPY,円,-793000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration_ForeignCurrencyTranslationAdjustmentMember,当期,連結,期間,JPY,円,-566000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration_RemeasurementsOfDefinedBenefitPlansMember,当期,連結,期間,JPY,円,837000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration_ValuationAndTranslationAdjustmentsMember,当期,連結,期間,JPY,円,-760000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration_NonControllingInterestsMember,当期,連結,期間,JPY,円,871000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,CurrentYearDuration,当期,連結,期間,JPY,円,111000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_ValuationDifferenceOnAvailableForSaleSecuritiesMember,当期,連結,期間,JPY,円,-237000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_DeferredGainsOrLossesOnHedgesMember,当期,連結,期間,JPY,円,-793000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_ForeignCurrencyTranslationAdjustmentMember,当期,連結,期間,JPY,円,-566000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_RemeasurementsOfDefinedBenefitPlansMember,当期,連結,期間,JPY,円,837000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_ValuationAndTranslationAdjustmentsMember,当期,連結,期間,JPY,円,-760000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration_NonControllingInterestsMember,当期,連結,期間,JPY,円,871000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,CurrentYearDuration,当期,連結,期間,JPY,円,20849000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_ValuationDifferenceOnAvailableForSaleSecuritiesMember,当期末,連結,時点,JPY,円,-25000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_DeferredGainsOrLossesOnHedgesMember,当期末,連結,時点,JPY,円,-831000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_ForeignCurrencyTranslationAdjustmentMember,当期末,連結,時点,JPY,円,1411000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_RemeasurementsOfDefinedBenefitPlansMember,当期末,連結,時点,JPY,円,442000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_ValuationAndTranslationAdjustmentsMember,当期末,連結,時点,JPY,円,997000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant_NonControllingInterestsMember,当期末,連結,時点,JPY,円,8180000000
jppfs_cor:NetAssets,純資産,CurrentYearInstant,当期末,連結,時点,JPY,円,325624000000
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,CurrentYearDuration,当期,連結,期間,JPY,円,42908000000
jppfs_cor:DepreciationOfLeasedAndOwnUsedAssetsOpeCFLEA,賃貸資産及び社用資産減価償却費、営業活動によるキャッシュ・フロー、リース事業,CurrentYearDuration,当期,連結,期間,JPY,円,12062000000
jppfs_cor:IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF,貸倒引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,CurrentYearDuration,当期,連結,期間,JPY,円,1339000000
