要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1589
jpcrp_cor:AverageAgeYearsInformationAboutReportingCompanyInformationAboutEmployees,平均年齢（年）、提出会社の状況、従業員の状況,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,41
jpcrp_cor:AverageAgeMonthsInformationAboutReportingCompanyInformationAboutEmployees,平均年齢（月）、提出会社の状況、従業員の状況,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,11
jpcrp_cor:AverageLengthOfServiceYearsInformationAboutReportingCompanyInformationAboutEmployees,平均勤続年数（年）、提出会社の状況、従業員の状況,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,9
jpcrp_cor:AverageLengthOfServiceMonthsInformationAboutReportingCompanyInformationAboutEmployees,平均勤続年数（月）、提出会社の状況、従業員の状況,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,0
jpcrp_cor:AverageAnnualSalaryInformationAboutReportingCompanyInformationAboutEmployees,平均年間給与、提出会社の状況、従業員の状況,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,6834100
jpcrp_cor:RatioOfFemaleEmployeesInManagerialPositionsMetricsOfReportingCompany,管理職に占める女性労働者の割合、提出会社の指標,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,0.237
jpcrp_cor:AllEmployeesCalculatedBasedOnProvisionsOfArticle714Item2OfOrdinanceForEnforcementOfActOnChildcareLeaveCaregiverLeaveAndOtherMeasuresForTheWelfareOfWorkersCaringForChildrenOrOtherFamilyMembersRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompany,全労働者、育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則第71条の4第2号における割合を算出、男性労働者の育児休業取得率、提出会社の指標,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1.000
jpcrp_cor:AllEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfReportingCompany,全労働者、労働者の男女の賃金の差異、提出会社の指標,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,0.490
jpcrp_cor:RegularEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfReportingCompany,正規雇用労働者、労働者の男女の賃金の差異、提出会社の指標,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,0.683
jpcrp_cor:NonRegularEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfReportingCompany,非正規雇用労働者、労働者の男女の賃金の差異、提出会社の指標,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1.007
jpcrp_cor:RatioOfFemaleEmployeesInManagerialPositionsMetricsOfConsolidatedSubsidiaries,管理職に占める女性労働者の割合、連結子会社の指標,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,0.261
jpcrp_cor:AllEmployeesRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfConsolidatedSubsidiaries,全労働者、男性労働者の育児休業取得率、連結子会社の指標,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,－
jpcrp_cor:AllEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfConsolidatedSubsidiaries,全労働者、労働者の男女の賃金の差異、連結子会社の指標,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,0.523
jpcrp_cor:RegularEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfConsolidatedSubsidiaries,正規雇用労働者、労働者の男女の賃金の差異、連結子会社の指標,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,0.611
jpcrp_cor:NonRegularEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfConsolidatedSubsidiaries,非正規雇用労働者、労働者の男女の賃金の差異、連結子会社の指標,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,－
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,30.0
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row1Member,当期末,その他,時点,pure,,23.7
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row2Member,当期末,その他,時点,pure,,100
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row2Member,当期末,その他,時点,pure,,100
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row3Member,当期末,その他,時点,pure,,60
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row3Member,当期末,その他,時点,pure,,52
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row4Member,当期末,その他,時点,pure,,9
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row5Member,当期末,その他,時点,pure,,2.70
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row5Member,当期末,その他,時点,pure,,2.54
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row6Member,当期末,その他,時点,pure,,98
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row7Member,当期末,その他,時点,pure,,4.2
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row8Member,当期末,その他,時点,pure,,49.0
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row9Member,当期末,その他,時点,pure,,100
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row9Member,当期末,その他,時点,pure,,100
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row10Member,当期末,その他,時点,pure,,100
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row10Member,当期末,その他,時点,pure,,88.5
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row11Member,当期末,その他,時点,pure,,100
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row11Member,当期末,その他,時点,pure,,50.7
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row12Member,当期末,その他,時点,pure,,100
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row12Member,当期末,その他,時点,pure,,19.7
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row13Member,当期末,その他,時点,pure,,15
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row13Member,当期末,その他,時点,pure,,－
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row14Member,当期末,その他,時点,pure,,30
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row14Member,当期末,その他,時点,pure,,－
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row15Member,当期末,その他,時点,pure,,100
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row15Member,当期末,その他,時点,pure,,99.0
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row16Member,当期末,その他,時点,pure,,10
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row16Member,当期末,その他,時点,pure,,14.2
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row17Member,当期末,その他,時点,pure,,1975
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row17Member,当期末,その他,時点,pure,,1990
jpcrp_cor:TargetsDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,目標数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row18Member,当期末,その他,時点,pure,,15
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,実績数値、人材の育成及び社内環境整備に関する方針に関する指標の内容並びに当該指標を用いた目標及び実績,CurrentYearInstant_Row18Member,当期末,その他,時点,pure,,23
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,設備投資額、設備投資等の概要,CurrentYearDuration,当期,その他,期間,JPY,円,90009000000
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,設備投資額、設備投資等の概要,CurrentYearDuration_jpcrp030000-asr_E04002-000JapanReportableSegmentsMember,当期,その他,期間,JPY,円,27550000000
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,設備投資額、設備投資等の概要,CurrentYearDuration_jpcrp030000-asr_E04002-000ChinaReportableSegmentsMember,当期,その他,期間,JPY,円,29822000000
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,設備投資額、設備投資等の概要,CurrentYearDuration_jpcrp030000-asr_E04002-000VietnamReportableSegmentsMember,当期,その他,期間,JPY,円,27947000000
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,設備投資額、設備投資等の概要,CurrentYearDuration_jpcrp030000-asr_E04002-000CambodiaReportableSegmentsMember,当期,その他,期間,JPY,円,1627000000
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,設備投資額、設備投資等の概要,CurrentYearDuration_jpcrp030000-asr_E04002-000IndonesiaReportableSegmentsMember,当期,その他,期間,JPY,円,3061000000
jpcrp_cor:NumberOfIssuedSharesAsOfFiscalYearEndIssuedSharesTotalNumberOfSharesEtc,事業年度末現在発行数（株）、発行済株式、株式の総数等,FilingDateInstant_OrdinaryShareMember,提出日時点,その他,時点,shares,,227571139
jpcrp_cor:NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,提出日現在発行数（株）、発行済株式、株式の総数等,FilingDateInstant_OrdinaryShareMember,提出日時点,その他,時点,shares,,227578239
jpcrp_cor:NumberOfIssuedSharesAsOfFiscalYearEndIssuedSharesTotalNumberOfSharesEtc,事業年度末現在発行数（株）、発行済株式、株式の総数等,FilingDateInstant,提出日時点,その他,時点,shares,,227571139
jpcrp_cor:NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,提出日現在発行数（株）、発行済株式、株式の総数等,FilingDateInstant,提出日時点,その他,時点,shares,,227578239
jpcrp_cor:NumberOfSharesConstitutingOneUnit,１単元の株式数,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,shares,,100
jpcrp_cor:NumberOfShareholdersNationalAndLocalGovernments,株主数－政府及び地方公共団体,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfShareholdersFinancialInstitutions,株主数－金融機関,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,34
jpcrp_cor:NumberOfShareholdersFinancialServiceProviders,株主数－金融商品取引業者,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,21
jpcrp_cor:NumberOfShareholdersOtherCorporations,株主数－その他の法人,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,1018
jpcrp_cor:NumberOfShareholdersForeignInvestorsOtherThanIndividuals,株主数－外国法人等－個人以外,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,246
jpcrp_cor:NumberOfShareholdersForeignIndividualInvestors,株主数－外国法人等－個人,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,728
jpcrp_cor:NumberOfShareholdersIndividualsAndOthers,株主数－個人その他,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,296595
jpcrp_cor:NumberOfShareholdersTotal,株主数－計,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,298642
jpcrp_cor:NumberOfSharesHeldNumberOfUnitsNationalAndLocalGovernments,所有株式数（単元）－政府及び地方公共団体,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfSharesHeldNumberOfUnitsFinancialInstitutions,所有株式数（単元）－金融機関,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,227921
jpcrp_cor:NumberOfSharesHeldNumberOfUnitsFinancialServiceProviders,所有株式数（単元）－金融商品取引業者,CurrentYearInstant_OrdinaryShareMember,当期末,その他,時点,pure,,20623
